uti;sft_type;action_type;reporting_timestamp_cp1;reporting_timestamp_cp2;other_counterparty_cp1;other_counterparty_cp2;uti_cp1;uti_cp2;event_date_cp1;event_date_cp2;type_of_sft_cp1;type_of_sft_cp2;execution_timestamp_cp1;execution_timestamp_cp2;method_used_to_provide_collateral_cp1;method_used_to_provide_collateral_cp2
PRED-20260421-0001;Predatadas;NEWT;2026-04-21T08:00:00Z;2026-04-21T08:00:00Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260421-0001;PRED-20260421-0001;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T08:01:30Z;2026-04-21T08:01:30Z;CSD;CSD
PRED-20260421-0002;Predatadas;NEWT;2026-04-21T09:07:11Z;2026-04-21T09:07:11Z;R0MUWSFPU8MPRO8K5P81;5493001KJTIIGC8Y1R12;PRED-20260421-0002;PRED-20260421-0002;2026-04-21;2026-04-21;SECLEND;SECLEND;2026-04-21T09:08:41Z;2026-04-21T09:08:41Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260421-0003;Predatadas;NEWT;2026-04-21T10:14:22Z;2026-04-21T10:14:22Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0003;PRED-20260421-0003;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T10:14:52Z;2026-04-21T10:14:52Z;TRIPARTY;TRIPARTY
PRED-20260421-0004;Predatadas;NEWT;2026-04-21T11:21:33Z;2026-04-21T11:21:33Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260421-0004;PRED-20260421-0004-X;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T11:22:03Z;2026-04-21T11:22:03Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260421-0005;Predatadas;NEWT;2026-04-21T12:28:44Z;2026-04-21T12:28:44Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0005;PRED-20260421-0005;2026-04-21;2026-04-21;SECLEND;SECLEND;2026-04-21T12:29:14Z;2026-04-21T12:29:14Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260421-0006;Predatadas;NEWT;2026-04-21T13:35:55Z;2026-04-21T13:35:55Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0006;PRED-20260421-0006-X;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T13:36:25Z;2026-04-21T13:36:25Z;TRIPARTY;TRIPARTY
PRED-20260421-0007;Predatadas;NEWT;2026-04-21T14:42:06Z;2026-04-21T14:42:06Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0007;PRED-20260421-0007;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T14:43:36Z;2026-04-21T14:43:36Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260421-0008;Predatadas;NEWT;2026-04-21T15:49:17Z;2026-04-21T15:49:17Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260421-0008;PRED-20260421-0008-X;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T15:49:47Z;2026-04-21T15:49:47Z;TRIPARTY;TRIPARTY
PRED-20260421-0009;Predatadas;NEWT;2026-04-21T16:56:28Z;2026-04-21T16:56:28Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260421-0009;PRED-20260421-0009;2026-04-21;2026-04-21;BUYSELLBACK;BUYSELLBACK;2026-04-21T16:56:58Z;2026-04-21T16:56:58Z;TRIPARTY;TRIPARTY
PRED-20260421-0010;Predatadas;NEWT;2026-04-21T08:03:39Z;2026-04-21T08:08:39Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0010;PRED-20260421-0010;2026-04-21;2026-04-22;REPO;REPO;2026-04-21T08:04:09Z;2026-04-21T08:04:09Z;BILATERAL;CSD
PRED-20260421-0011;Predatadas;NEWT;2026-04-21T09:10:50Z;2026-04-21T09:10:50Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260421-0011;PRED-20260421-0011;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T09:11:20Z;2026-04-21T09:11:20Z;BILATERAL;BILATERAL
PRED-20260421-0012;Predatadas;NEWT;2026-04-21T10:17:01Z;2026-04-21T10:17:01Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260421-0012;PRED-20260421-0012-X;2026-04-21;2026-04-21;REPO;REPO;2026-04-21T10:18:31Z;2026-04-21T10:18:31Z;BILATERAL;BILATERAL
PRED-20260421-0013;Predatadas;NEWT;2026-04-21T11:24:12Z;2026-04-21T11:24:12Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260421-0013;PRED-20260421-0013;2026-04-21;2026-04-21;BUYSELLBACK;BUYSELLBACK;2026-04-21T11:25:42Z;2026-04-21T11:25:42Z;BILATERAL;BILATERAL
