uti;sft_type;action_type;reporting_timestamp_cp1;reporting_timestamp_cp2;other_counterparty_cp1;other_counterparty_cp2;uti_cp1;uti_cp2;event_date_cp1;event_date_cp2;type_of_sft_cp1;type_of_sft_cp2;execution_timestamp_cp1;execution_timestamp_cp2;method_used_to_provide_collateral_cp1;method_used_to_provide_collateral_cp2
PRED-20260408-0001;Predatadas;NEWT;2026-04-08T08:00:00Z;2026-04-08T08:00:00Z;VUJNWIVNFNEBFQSQE965;VUJNWIVNFNEBFQSQE965;PRED-20260408-0001;PRED-20260408-0001;2026-04-08;2026-04-08;BUYSELLBACK;BUYSELLBACK;2026-04-08T08:01:30Z;2026-04-08T08:01:30Z;CSD;CSD
PRED-20260408-0002;Predatadas;NEWT;2026-04-08T09:07:11Z;2026-04-08T09:07:11Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0002;PRED-20260408-0002-X;2026-04-08;2026-04-08;BUYSELLBACK;BUYSELLBACK;2026-04-08T09:08:41Z;2026-04-08T09:08:41Z;BILATERAL;BILATERAL
PRED-20260408-0003;Predatadas;NEWT;2026-04-08T10:14:22Z;2026-04-08T10:14:22Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0003;PRED-20260408-0003;2026-04-08;2026-04-08;SECLEND;SECLEND;2026-04-08T10:14:52Z;2026-04-08T10:14:52Z;BILATERAL;BILATERAL
PRED-20260408-0004;Predatadas;NEWT;2026-04-08T11:21:33Z;2026-04-08T11:26:33Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260408-0004;PRED-20260408-0004;2026-04-08;2026-04-09;BUYSELLBACK;BUYSELLBACK;2026-04-08T11:22:03Z;2026-04-08T13:21:33Z;CSD;THIRD_PARTY_AGENT
PRED-20260408-0005;Predatadas;NEWT;2026-04-08T12:28:44Z;2026-04-08T12:28:44Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0005;PRED-20260408-0005;2026-04-08;2026-04-08;BUYSELLBACK;BUYSELLBACK;2026-04-08T12:29:14Z;2026-04-08T12:29:14Z;BILATERAL;BILATERAL
PRED-20260408-0006;Predatadas;NEWT;2026-04-08T13:35:55Z;2026-04-08T13:35:55Z;5493001KJTIIGC8Y1R12;7LTWFZYICNSX8D621K86;PRED-20260408-0006;PRED-20260408-0006;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T13:36:25Z;2026-04-08T13:36:25Z;CSD;CSD
PRED-20260408-0007;Predatadas;NEWT;2026-04-08T14:42:06Z;2026-04-08T14:42:06Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0007;PRED-20260408-0007;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T14:43:36Z;2026-04-08T14:43:36Z;BILATERAL;BILATERAL
PRED-20260408-0008;Predatadas;NEWT;2026-04-08T15:49:17Z;2026-04-08T15:54:17Z;VUJNWIVNFNEBFQSQE965;VUJNWIVNFNEBFQSQE965;PRED-20260408-0008;PRED-20260408-0008;2026-04-08;2026-04-09;SECLEND;SECLEND;2026-04-08T15:49:47Z;2026-04-08T17:49:17Z;CSD;THIRD_PARTY_AGENT
PRED-20260408-0009;Predatadas;NEWT;2026-04-08T16:56:28Z;2026-04-08T16:56:28Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260408-0009;PRED-20260408-0009;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T16:56:58Z;2026-04-08T16:56:58Z;BILATERAL;BILATERAL
PRED-20260408-0010;Predatadas;NEWT;2026-04-08T08:03:39Z;2026-04-08T08:08:39Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260408-0010;PRED-20260408-0010;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T08:04:09Z;2026-04-08T08:04:09Z;TRIPARTY;BILATERAL
PRED-20260408-0011;Predatadas;NEWT;2026-04-08T09:10:50Z;2026-04-08T09:10:50Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0011;PRED-20260408-0011;2026-04-08;2026-04-08;SECLEND;SECLEND;2026-04-08T09:11:20Z;2026-04-08T09:11:20Z;BILATERAL;BILATERAL
PRED-20260408-0012;Predatadas;NEWT;2026-04-08T10:17:01Z;2026-04-08T10:17:01Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0012;PRED-20260408-0012-X;2026-04-08;2026-04-08;BUYSELLBACK;BUYSELLBACK;2026-04-08T10:18:31Z;2026-04-08T10:18:31Z;TRIPARTY;TRIPARTY
PRED-20260408-0013;Predatadas;NEWT;2026-04-08T11:24:12Z;2026-04-08T11:24:12Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260408-0013;PRED-20260408-0013;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T11:25:42Z;2026-04-08T11:25:42Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260408-0014;Predatadas;NEWT;2026-04-08T12:31:23Z;2026-04-08T12:31:23Z;7LTWFZYICNSX8D621K86;VUJNWIVNFNEBFQSQE965;PRED-20260408-0014;PRED-20260408-0014-X;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T12:31:53Z;2026-04-08T12:31:53Z;CSD;CSD
PRED-20260408-0015;Predatadas;NEWT;2026-04-08T13:38:34Z;2026-04-08T13:38:34Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0015;PRED-20260408-0015;2026-04-08;2026-04-08;SECLEND;SECLEND;2026-04-08T13:39:04Z;2026-04-08T13:39:04Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260408-0016;Predatadas;NEWT;2026-04-08T14:45:45Z;2026-04-08T14:50:45Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0016;PRED-20260408-0016;2026-04-08;2026-04-09;BUYSELLBACK;REPO;2026-04-08T14:46:15Z;2026-04-08T16:45:45Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260408-0017;Predatadas;NEWT;2026-04-08T15:52:56Z;2026-04-08T15:52:56Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0017;PRED-20260408-0017;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T15:53:26Z;2026-04-08T15:53:26Z;CSD;CSD
PRED-20260408-0018;Predatadas;NEWT;2026-04-08T16:59:07Z;2026-04-08T16:59:07Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0018;PRED-20260408-0018-X;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T17:00:37Z;2026-04-08T17:00:37Z;TRIPARTY;TRIPARTY
PRED-20260408-0019;Predatadas;NEWT;2026-04-08T08:06:18Z;2026-04-08T08:06:18Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0019;PRED-20260408-0019;2026-04-08;2026-04-08;SECLEND;SECLEND;2026-04-08T08:06:48Z;2026-04-08T08:06:48Z;TRIPARTY;TRIPARTY
PRED-20260408-0020;Predatadas;NEWT;2026-04-08T09:13:29Z;2026-04-08T09:13:29Z;R0MUWSFPU8MPRO8K5P81;5493001KJTIIGC8Y1R12;PRED-20260408-0020;PRED-20260408-0020;2026-04-08;2026-04-08;BUYSELLBACK;BUYSELLBACK;2026-04-08T09:13:59Z;2026-04-08T09:13:59Z;TRIPARTY;TRIPARTY
PRED-20260408-0021;Predatadas;NEWT;2026-04-08T10:20:40Z;2026-04-08T10:20:40Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0021;PRED-20260408-0021;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T10:21:10Z;2026-04-08T10:21:10Z;TRIPARTY;TRIPARTY
PRED-20260408-0022;Predatadas;NEWT;2026-04-08T11:27:51Z;2026-04-08T11:27:51Z;5493001KJTIIGC8Y1R12;7LTWFZYICNSX8D621K86;PRED-20260408-0022;PRED-20260408-0022;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T11:28:21Z;2026-04-08T11:28:21Z;TRIPARTY;TRIPARTY
PRED-20260408-0023;Predatadas;NEWT;2026-04-08T12:34:02Z;2026-04-08T12:34:02Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260408-0023;PRED-20260408-0023;2026-04-08;2026-04-08;REPO;REPO;2026-04-08T12:35:32Z;2026-04-08T12:35:32Z;CSD;CSD
PRED-20260408-0024;Predatadas;NEWT;2026-04-08T13:41:13Z;2026-04-08T13:46:13Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260408-0024;PRED-20260408-0024;2026-04-08;2026-04-09;BUYSELLBACK;BUYSELLBACK;2026-04-08T13:42:43Z;2026-04-08T15:41:13Z;BILATERAL;CSD
