uti;sft_type;action_type;reporting_timestamp_cp1;reporting_timestamp_cp2;other_counterparty_cp1;other_counterparty_cp2;uti_cp1;uti_cp2;event_date_cp1;event_date_cp2;type_of_sft_cp1;type_of_sft_cp2;execution_timestamp_cp1;execution_timestamp_cp2;method_used_to_provide_collateral_cp1;method_used_to_provide_collateral_cp2
PRED-20260420-0001;Predatadas;NEWT;2026-04-20T08:00:00Z;2026-04-20T08:00:00Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260420-0001;PRED-20260420-0001;2026-04-20;2026-04-20;REPO;SECLEND;2026-04-20T08:01:30Z;2026-04-20T08:01:30Z;BILATERAL;BILATERAL
PRED-20260420-0002;Predatadas;NEWT;2026-04-20T09:07:11Z;2026-04-20T09:07:11Z;R0MUWSFPU8MPRO8K5P81;5493001KJTIIGC8Y1R12;PRED-20260420-0002;PRED-20260420-0002;2026-04-20;2026-04-20;SECLEND;SECLEND;2026-04-20T09:08:41Z;2026-04-20T09:08:41Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260420-0003;Predatadas;NEWT;2026-04-20T10:14:22Z;2026-04-20T10:19:22Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260420-0003;PRED-20260420-0003;2026-04-20;2026-04-21;SECLEND;SECLEND;2026-04-20T10:14:52Z;2026-04-20T10:14:52Z;CSD;THIRD_PARTY_AGENT
PRED-20260420-0004;Predatadas;NEWT;2026-04-20T11:21:33Z;2026-04-20T11:26:33Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260420-0004;PRED-20260420-0004;2026-04-20;2026-04-20;BUYSELLBACK;REPO;2026-04-20T11:22:03Z;2026-04-20T13:21:33Z;THIRD_PARTY_AGENT;TRIPARTY
PRED-20260420-0005;Predatadas;NEWT;2026-04-20T12:28:44Z;2026-04-20T12:28:44Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260420-0005;PRED-20260420-0005;2026-04-20;2026-04-21;SECLEND;SECLEND;2026-04-20T12:29:14Z;2026-04-20T12:29:14Z;TRIPARTY;TRIPARTY
PRED-20260420-0006;Predatadas;NEWT;2026-04-20T13:35:55Z;2026-04-20T13:35:55Z;R0MUWSFPU8MPRO8K5P81;5493001KJTIIGC8Y1R12;PRED-20260420-0006;PRED-20260420-0006-X;2026-04-20;2026-04-20;REPO;REPO;2026-04-20T13:36:25Z;2026-04-20T13:36:25Z;BILATERAL;BILATERAL
PRED-20260420-0007;Predatadas;NEWT;2026-04-20T14:42:06Z;2026-04-20T14:47:06Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260420-0007;PRED-20260420-0007;2026-04-20;2026-04-21;REPO;SECLEND;2026-04-20T14:43:36Z;2026-04-20T14:43:36Z;TRIPARTY;TRIPARTY
PRED-20260420-0008;Predatadas;NEWT;2026-04-20T15:49:17Z;2026-04-20T15:49:17Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260420-0008;PRED-20260420-0008-X;2026-04-20;2026-04-20;BUYSELLBACK;BUYSELLBACK;2026-04-20T15:49:47Z;2026-04-20T15:49:47Z;TRIPARTY;TRIPARTY
PRED-20260420-0009;Predatadas;NEWT;2026-04-20T16:56:28Z;2026-04-20T16:56:28Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260420-0009;PRED-20260420-0009-X;2026-04-20;2026-04-20;SECLEND;SECLEND;2026-04-20T16:56:58Z;2026-04-20T16:56:58Z;BILATERAL;BILATERAL
PRED-20260420-0010;Predatadas;NEWT;2026-04-20T08:03:39Z;2026-04-20T08:03:39Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260420-0010;PRED-20260420-0010-X;2026-04-20;2026-04-20;BUYSELLBACK;BUYSELLBACK;2026-04-20T08:04:09Z;2026-04-20T08:04:09Z;TRIPARTY;TRIPARTY
