uti;sft_type;action_type;reporting_timestamp_cp1;reporting_timestamp_cp2;other_counterparty_cp1;other_counterparty_cp2;uti_cp1;uti_cp2;event_date_cp1;event_date_cp2;type_of_sft_cp1;type_of_sft_cp2;execution_timestamp_cp1;execution_timestamp_cp2;method_used_to_provide_collateral_cp1;method_used_to_provide_collateral_cp2
PRED-20260417-0001;Predatadas;NEWT;2026-04-17T08:00:00Z;2026-04-17T08:00:00Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260417-0001;PRED-20260417-0001;2026-04-17;2026-04-18;SECLEND;BUYSELLBACK;2026-04-17T08:01:30Z;2026-04-17T08:01:30Z;TRIPARTY;TRIPARTY
PRED-20260417-0002;Predatadas;NEWT;2026-04-17T09:07:11Z;2026-04-17T09:12:11Z;7LTWFZYICNSX8D621K86;7LTWFZYICNSX8D621K86;PRED-20260417-0002;PRED-20260417-0002;2026-04-17;2026-04-18;SECLEND;SECLEND;2026-04-17T09:08:41Z;2026-04-17T09:08:41Z;THIRD_PARTY_AGENT;TRIPARTY
PRED-20260417-0003;Predatadas;NEWT;2026-04-17T10:14:22Z;2026-04-17T10:14:22Z;5493001KJTIIGC8Y1R12;7LTWFZYICNSX8D621K86;PRED-20260417-0003;PRED-20260417-0003;2026-04-17;2026-04-17;BUYSELLBACK;BUYSELLBACK;2026-04-17T10:14:52Z;2026-04-17T10:14:52Z;TRIPARTY;TRIPARTY
PRED-20260417-0004;Predatadas;NEWT;2026-04-17T11:21:33Z;2026-04-17T11:21:33Z;7LTWFZYICNSX8D621K86;VUJNWIVNFNEBFQSQE965;PRED-20260417-0004;PRED-20260417-0004;2026-04-17;2026-04-17;SECLEND;SECLEND;2026-04-17T11:22:03Z;2026-04-17T11:22:03Z;CSD;CSD
PRED-20260417-0005;Predatadas;NEWT;2026-04-17T12:28:44Z;2026-04-17T12:28:44Z;VUJNWIVNFNEBFQSQE965;VUJNWIVNFNEBFQSQE965;PRED-20260417-0005;PRED-20260417-0005-X;2026-04-17;2026-04-17;REPO;REPO;2026-04-17T12:29:14Z;2026-04-17T12:29:14Z;CSD;CSD
PRED-20260417-0006;Predatadas;NEWT;2026-04-17T13:35:55Z;2026-04-17T13:35:55Z;5493001KJTIIGC8Y1R12;5493001KJTIIGC8Y1R12;PRED-20260417-0006;PRED-20260417-0006-X;2026-04-17;2026-04-17;SECLEND;SECLEND;2026-04-17T13:36:25Z;2026-04-17T13:36:25Z;TRIPARTY;TRIPARTY
PRED-20260417-0007;Predatadas;NEWT;2026-04-17T14:42:06Z;2026-04-17T14:42:06Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260417-0007;PRED-20260417-0007-X;2026-04-17;2026-04-17;BUYSELLBACK;BUYSELLBACK;2026-04-17T14:43:36Z;2026-04-17T14:43:36Z;BILATERAL;BILATERAL
PRED-20260417-0008;Predatadas;NEWT;2026-04-17T15:49:17Z;2026-04-17T15:49:17Z;5493001KJTIIGC8Y1R12;7LTWFZYICNSX8D621K86;PRED-20260417-0008;PRED-20260417-0008;2026-04-17;2026-04-17;BUYSELLBACK;BUYSELLBACK;2026-04-17T15:49:47Z;2026-04-17T15:49:47Z;THIRD_PARTY_AGENT;THIRD_PARTY_AGENT
PRED-20260417-0009;Predatadas;NEWT;2026-04-17T16:56:28Z;2026-04-17T16:56:28Z;R0MUWSFPU8MPRO8K5P81;R0MUWSFPU8MPRO8K5P81;PRED-20260417-0009;PRED-20260417-0009;2026-04-17;2026-04-17;REPO;SECLEND;2026-04-17T16:56:58Z;2026-04-17T18:56:28Z;TRIPARTY;TRIPARTY
PRED-20260417-0010;Predatadas;NEWT;2026-04-17T08:03:39Z;2026-04-17T08:03:39Z;VUJNWIVNFNEBFQSQE965;VUJNWIVNFNEBFQSQE965;PRED-20260417-0010;PRED-20260417-0010-X;2026-04-17;2026-04-17;BUYSELLBACK;BUYSELLBACK;2026-04-17T08:04:09Z;2026-04-17T08:04:09Z;TRIPARTY;TRIPARTY
